RANK,CHEMICAL,TOTAL_RELEASES,N_FACILITIES,N_YEARS_REPORTED,CARCINOGEN,PBT,PFAS,CLASSIFICATION
269,Sodium azide,11.879999999999999,1,3,NO,NO,NO,TRI
270,C.I. Direct Black 38,11.0,1,1,YES,NO,NO,TRI
271,"1,1,1,2-Tetrachloro-2-fluoroethane (HCFC-121a)",10.392,1,1,NO,NO,NO,TRI
272,Allyl chloride,10.280000000000001,1,2,NO,NO,NO,TRI
273,"3,3'-Dichlorobenzidine dihydrochloride",9.809999999999999,1,15,YES,NO,NO,TRI
274,"1,4-Dichlorobenzene",9.79,2,4,YES,NO,NO,TRI
275,Malononitrile,9.0,1,2,NO,NO,NO,TRI
276,Maneb,9.0,1,1,NO,NO,NO,TRI
277,Malathion,9.0,1,3,YES,NO,NO,TRI
278,Toxaphene,7.64,1,15,YES,YES,NO,PBT
279,"3,3'-Dimethoxybenzidine dihydrochloride",7.432,1,14,YES,NO,NO,TRI
280,"1,1-Dimethylhydrazine",7.0,1,1,YES,NO,NO,TRI
281,Formamide,6.96,1,1,NO,NO,NO,TRI
282,p-Cresol,6.63,2,9,NO,NO,NO,TRI
283,Hexazinone,6.53,1,14,NO,NO,NO,TRI
284,Nitrobenzene,6.51,1,1,YES,NO,NO,TRI
285,Urethane,6.0,1,1,YES,NO,NO,TRI
286,"1-(3-Chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride",6.0,2,6,NO,NO,NO,TRI
287,o-Cresol,6.0,1,1,NO,NO,NO,TRI
288,Desmedipham,6.0,1,1,NO,NO,NO,TRI
289,"S,S,S-Tributyltrithiophosphate",6.0,1,1,NO,NO,NO,TRI
290,Cyfluthrin,6.0,1,1,NO,NO,NO,TRI
291,Methiocarb,6.0,1,1,NO,NO,NO,TRI
292,Hexafluoropropylene oxide dimer acid,5.5,1,2,NO,NO,YES,TRI
293,Trade Secret,5.0,1,1,NO,NO,NO,TRI
294,Benzoyl chloride,5.0,1,1,NO,NO,NO,TRI
295,Amitrole,4.64,1,1,YES,NO,NO,TRI
296,2-Methyllactonitrile,4.1,1,1,NO,NO,NO,TRI
297,"4,4'-Methylenedianiline",4.0,1,2,YES,NO,NO,TRI
298,"1,3-Dichlorobenzene",4.0,1,1,NO,NO,NO,TRI
299,Thiabendazole,3.65,1,1,NO,NO,NO,TRI
300,"2,4-DP",3.0,1,1,YES,NO,NO,TRI
301,Parathion,3.0,1,1,YES,NO,NO,TRI
302,Nitroglycerin,3.0,4,15,NO,NO,NO,TRI
303,Hexachloroethane,3.0,1,1,YES,NO,NO,TRI
304,Dimethyl chlorothiophosphate,3.0,1,1,NO,NO,NO,TRI
305,Benzamide,2.0,1,1,NO,NO,NO,TRI
306,Chlorophenols,1.0,1,1,YES,NO,NO,TRI
307,Perfluorohexanesulfonic acid,0.6,1,2,NO,NO,YES,TRI
308,N-Hydroxyethylethylenediamine,0.5,2,2,NO,NO,NO,TRI
309,Perfluorooctane sulfonic acid,0.43,1,2,NO,NO,YES,TRI
310,Perfluorooctanoic acid,0.30000000000000004,3,3,YES,NO,YES,TRI
311,Permethrin,0.1,2,11,NO,NO,NO,TRI
312,Perfluorononanoic acid,0.0,1,1,NO,NO,YES,TRI
313,Methoxone sodium salt,0.0,1,4,YES,NO,NO,TRI
314,Nitrilotriacetic acid trisodium salt,0.0,2,2,NO,NO,NO,TRI
315,Oxyfluorfen,0.0,1,1,NO,NO,NO,TRI
316,"1-Chloro-1,1,2,2-tetrafluoroethane (HCFC-124a)",0.0,1,1,NO,NO,NO,TRI
317,Perfluorohexanoic acid (PFHxA),0.0,1,1,NO,NO,YES,TRI
318,Myclobutanil,0.0,1,10,NO,NO,NO,TRI
319,Diflubenzuron,0.0,2,1,NO,NO,NO,TRI
320,Quinone,0.0,1,8,NO,NO,NO,TRI
321,"Isopropyl alcohol (only persons who manufacture by the strong acid process are subject, no supplier notification)",0.0,1,1,NO,NO,NO,TRI
322,Fomesafen,0.0,2,1,NO,NO,NO,TRI
323,Potassium heptafluorobutanoate,0.0,1,1,NO,NO,YES,TRI
324,Phenothrin,0.0,1,5,NO,NO,NO,TRI
325,Lithium bis[(trifluoromethyl)sulfonyl] azanide,0.0,1,1,NO,NO,YES,TRI
326,Mecoprop,0.0,1,13,YES,NO,NO,TRI
327,Phenolphthalein,0.0,1,1,YES,NO,NO,TRI
328,Temephos,0.0,1,2,NO,NO,NO,TRI
329,Benfluralin,0.0,1,2,NO,NO,NO,TRI
330,Carboxin,0.0,2,7,NO,NO,NO,TRI
331,Chlorotrifluoromethane (CFC-13),0.0,1,11,NO,NO,NO,TRI
332,Dazomet,0.0,1,1,NO,NO,NO,TRI
333,Beryllium,0.0,4,14,YES,NO,NO,TRI
334,"Toluene-2,6-diisocyanate",0.0,2,6,YES,NO,NO,TRI
